frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
1778268198.701066000,10.19.155.241,10.19.155.22,6892,5000,60,0x0010
1778268198.701067000,10.19.155.241,10.19.155.22,6892,5000,60,0x0010
1778268198.701099000,10.19.155.22,10.19.155.241,5000,6892,64,0x0018
1778268198.701622000,10.19.155.241,10.19.155.22,6892,5000,60,0x0011
1778268198.701935000,10.19.155.22,10.19.155.241,5000,6892,78,0x0018
1778268198.703855000,10.19.155.241,10.19.155.22,6892,5000,60,0x0014
1778268198.703800000,10.19.155.22,10.19.155.241,5000,6892,54,0x0011
1778268198.707965000,10.19.155.22,10.19.155.241,5000,56530,727,0x0019
1778268198.708377000,10.19.155.241,10.19.155.22,56530,5000,60,0x0010
1778268198.709275000,10.19.155.241,10.19.155.22,56530,5000,60,0x0011
1778268198.709310000,10.19.155.22,10.19.155.241,5000,56530,54,0x0010
1778268201.678595000,10.19.155.241,10.19.155.22,59717,5000,66,0x0002
1778268201.678597000,10.19.155.241,10.19.155.22,12805,5000,66,0x0002
1778268201.678629000,10.19.155.22,10.19.155.241,5000,59717,66,0x0012
1778268201.678835000,10.19.155.22,10.19.155.241,5000,12805,66,0x0012
1778268201.679622000,10.19.155.241,10.19.155.22,59717,5000,60,0x0010
1778268201.679623000,10.19.155.241,10.19.155.22,12805,5000,60,0x0010
1778268201.679624000,10.19.155.241,10.19.155.22,59717,5000,2026,0x0018
1778268201.679710000,10.19.155.22,10.19.155.241,5000,59717,54,0x0010
1778268201.680539000,10.19.155.22,10.19.155.241,5000,59717,1383,0x0018
1778268201.680904000,10.19.155.241,10.19.155.22,12805,5000,2090,0x0018
1778268201.680921000,10.19.155.22,10.19.155.241,5000,12805,54,0x0010
1778268201.681484000,10.19.155.241,10.19.155.22,59717,5000,84,0x0018
1778268201.681485000,10.19.155.241,10.19.155.22,59717,5000,60,0x0011
1778268201.681833000,10.19.155.22,10.19.155.241,5000,59717,54,0x0011
1778268201.682238000,10.19.155.241,10.19.155.22,19683,5000,66,0x0002
1778268201.682240000,10.19.155.241,10.19.155.22,59717,5000,60,0x0010
1778268201.682264000,10.19.155.22,10.19.155.241,5000,19683,66,0x0012
1778268201.683048000,10.19.155.241,10.19.155.22,19683,5000,60,0x0010
1778268201.683049000,10.19.155.241,10.19.155.22,19683,5000,1819,0x0018
1778268201.683083000,10.19.155.22,10.19.155.241,5000,19683,54,0x0010
1778268201.683543000,10.19.155.22,10.19.155.241,5000,12805,1383,0x0018
1778268201.684496000,10.19.155.241,10.19.155.22,12805,5000,84,0x0018
1778268201.684497000,10.19.155.241,10.19.155.22,12805,5000,60,0x0011
1778268201.685041000,10.19.155.22,10.19.155.241,5000,12805,54,0x0011
1778268201.685941000,10.19.155.241,10.19.155.22,64172,5000,66,0x0002
1778268201.685942000,10.19.155.241,10.19.155.22,12805,5000,60,0x0010
1778268201.685970000,10.19.155.22,10.19.155.241,5000,64172,66,0x0012
1778268201.686799000,10.19.155.241,10.19.155.22,64172,5000,60,0x0010
1778268201.686800000,10.19.155.241,10.19.155.22,64172,5000,1787,0x0018
1778268201.686842000,10.19.155.22,10.19.155.241,5000,64172,54,0x0010
1778268201.689058000,10.19.155.22,10.19.155.241,5000,19683,2501,0x0018
1778268201.689423000,10.19.155.241,10.19.155.22,19683,5000,60,0x0010
1778268201.690050000,10.19.155.241,10.19.155.22,19683,5000,134,0x0018
1778268201.690051000,10.19.155.241,10.19.155.22,19683,5000,622,0x0018
